0,1,2,3
11 aprile 2022,302.94,356.97,675.69
12 aprile 2022,304.44,359.37,673.13
13 aprile 2022,301.44,362.17,669.93
14 aprile 2022,301.94,365.37,671.85
15 aprile 2022,302.94,362.57,675.05
16 aprile 2022,299.44,361.77,679.53
17 aprile 2022,300.44,358.97,675.05
18 aprile 2022,296.94,359.77,678.89
19 aprile 2022,296.94,359.37,681.45
20 aprile 2022,300.94,355.37,680.81
21 aprile 2022,301.44,355.77,678.25
22 aprile 2022,297.94,354.97,674.41
23 aprile 2022,298.44,354.57,672.49
24 aprile 2022,296.44,351.37,668.01
25 aprile 2022,301.44,354.97,671.85
26 aprile 2022,299.94,356.57,674.41
27 aprile 2022,296.44,353.37,676.33
28 aprile 2022,295.94,352.57,678.89
29 aprile 2022,294.44,355.37,674.41
30 aprile 2022,295.94,351.37,671.85
1 maggio 2022,294.44,349.77,673.13
2 maggio 2022,296.44,353.37,678.89
3 maggio 2022,292.94,354.17,682.09
4 maggio 2022,293.44,353.37,685.29
5 maggio 2022,290.94,352.97,691.69
6 maggio 2022,288.94,350.57,688.49
7 maggio 2022,287.94,352.57,686.57
8 maggio 2022,286.94,353.37,687.85
9 maggio 2022,288.44,349.37,692.97
10 maggio 2022,291.94,348.17,693.61
11 maggio 2022,289.94,346.97,688.49
12 maggio 2022,289.44,344.57,687.85
13 maggio 2022,291.44,345.37,692.97
14 maggio 2022,290.94,345.77,689.13
15 maggio 2022,292.44,345.37,690.41
16 maggio 2022,292.94,348.57,684.65
17 maggio 2022,292.44,345.77,684.01
18 maggio 2022,293.94,342.57,682.09
19 maggio 2022,290.94,341.37,680.81
20 maggio 2022,292.44,339.77,675.05
21 maggio 2022,292.94,338.97,671.85
22 maggio 2022,291.94,338.57,665.45
23 maggio 2022,289.94,335.77,666.73
24 maggio 2022,288.94,336.17,660.97
25 maggio 2022,289.94,333.77,657.77
26 maggio 2022,288.44,330.17,657.13
27 maggio 2022,289.44,332.97,657.13
28 maggio 2022,286.44,330.57,656.49
29 maggio 2022,285.44,332.17,659.05
30 maggio 2022,288.94,334.17,659.69
31 maggio 2022,287.44,334.97,655.85
1 giugno 2022,283.94,333.77,656.49
2 giugno 2022,287.44,336.57,652.65
3 giugno 2022,289.44,333.37,650.73
4 giugno 2022,290.94,336.17,655.21
5 giugno 2022,285.94,337.37,655.85
6 giugno 2022,287.44,337.77,656.49
7 giugno 2022,290.44,340.97,660.33
8 giugno 2022,292.94,340.17,664.81
9 giugno 2022,294.44,341.37,663.53
10 giugno 2022,293.94,341.37,659.05
11 giugno 2022,295.44,344.57,664.81
12 giugno 2022,291.94,346.57,665.45
13 giugno 2022,296.44,343.37,662.89
14 giugno 2022,296.94,344.57,657.77
15 giugno 2022,299.94,346.97,658.41
16 giugno 2022,301.94,344.57,663.53
17 giugno 2022,298.94,344.97,662.25
18 giugno 2022,297.94,348.17,667.37
19 giugno 2022,299.44,346.57,665.45
20 giugno 2022,301.94,343.37,669.29
21 giugno 2022,306.44,341.77,668.65
22 giugno 2022,305.44,339.77,666.73
23 giugno 2022,303.94,343.77,668.01
24 giugno 2022,306.44,339.77,671.85
25 giugno 2022,309.94,336.57,668.01
26 giugno 2022,309.44,337.77,669.29
27 giugno 2022,309.94,340.17,666.09
28 giugno 2022,308.44,341.37,667.37
29 giugno 2022,306.94,343.77,671.85
30 giugno 2022,308.44,342.97,671.21
1 luglio 2022,310.94,341.77,666.73
2 luglio 2022,306.44,344.57,661.61
3 luglio 2022,305.94,344.97,659.05
4 luglio 2022,304.44,346.97,662.25
5 luglio 2022,306.44,347.37,660.97
6 luglio 2022,304.94,350.17,660.33
7 luglio 2022,304.94,347.77,662.25
8 luglio 2022,307.94,344.97,659.05
9 luglio 2022,304.94,347.77,659.69
10 luglio 2022,301.44,345.37,658.41
11 luglio 2022,300.44,345.77,657.13
12 luglio 2022,296.44,343.77,652.65
13 luglio 2022,293.44,345.37,657.77
14 luglio 2022,294.94,342.97,655.85
15 luglio 2022,295.94,343.77,653.29
16 luglio 2022,294.44,341.77,656.49
17 luglio 2022,294.94,342.17,652.65
18 luglio 2022,295.94,344.17,655.85
19 luglio 2022,294.44,344.97,653.29
20 luglio 2022,293.94,344.17,658.41
21 luglio 2022,293.44,347.77,655.21
22 luglio 2022,291.44,347.37,652.65
23 luglio 2022,296.44,348.57,648.81
24 luglio 2022,294.44,348.17,644.97
25 luglio 2022,297.44,344.57,639.21
26 luglio 2022,294.44,344.17,643.69
27 luglio 2022,297.44,344.57,648.81
28 luglio 2022,299.44,347.37,643.05
29 luglio 2022,300.44,348.57,643.69
30 luglio 2022,299.44,345.37,639.85
31 luglio 2022,301.44,347.37,636.65
1 agosto 2022,301.44,344.57,634.09
2 agosto 2022,303.44,348.17,637.29
3 agosto 2022,305.94,346.97,639.85
4 agosto 2022,308.94,345.77,643.05
5 agosto 2022,309.44,341.77,644.33
6 agosto 2022,307.44,341.77,638.57
7 agosto 2022,307.44,342.17,632.81
8 agosto 2022,308.44,343.77,636.01
9 agosto 2022,309.94,344.17,631.53
10 agosto 2022,311.94,347.77,633.45
11 agosto 2022,307.94,347.37,634.09
12 agosto 2022,308.44,344.17,630.89
13 agosto 2022,305.44,346.97,635.37
14 agosto 2022,306.44,346.57,639.85
15 agosto 2022,307.94,348.17,636.01
16 agosto 2022,305.94,348.97,637.29
17 agosto 2022,309.44,349.37,638.57
18 agosto 2022,310.94,348.57,644.97
19 agosto 2022,311.44,351.77,643.05
20 agosto 2022,313.44,354.97,647.53
21 agosto 2022,312.94,355.37,649.45
22 agosto 2022,311.44,356.57,646.89
23 agosto 2022,310.94,358.57,651.37
24 agosto 2022,311.94,362.17,650.09
25 agosto 2022,313.44,361.77,648.17
26 agosto 2022,313.94,360.17,650.73
27 agosto 2022,318.44,358.17,648.81
28 agosto 2022,316.44,360.17,650.09
29 agosto 2022,315.44,359.77,646.25
30 agosto 2022,313.94,360.57,646.89
31 agosto 2022,315.94,361.37,648.81
1 settembre 2022,315.44,358.17,646.25
2 settembre 2022,313.94,359.37,650.09
3 settembre 2022,308.94,358.17,651.37
4 settembre 2022,307.44,360.17,657.77
5 settembre 2022,308.94,361.77,653.29
6 settembre 2022,311.44,362.17,653.93
7 settembre 2022,310.44,365.77,655.85
8 settembre 2022,311.44,366.97,659.05
9 settembre 2022,312.94,364.97,654.57
10 settembre 2022,315.44,367.37,651.37
11 settembre 2022,316.44,368.97,646.89
12 settembre 2022,315.44,369.37,641.77
13 settembre 2022,319.94,371.37,641.13
14 settembre 2022,316.44,370.17,640.49
15 settembre 2022,314.44,371.37,636.01
16 settembre 2022,313.94,372.17,635.37
17 settembre 2022,310.94,373.77,632.17
18 settembre 2022,311.94,370.97,634.09
19 settembre 2022,313.44,368.97,631.53
20 settembre 2022,312.44,369.37,626.41
21 settembre 2022,315.94,367.77,625.77
22 settembre 2022,317.44,367.37,631.53
23 settembre 2022,320.44,366.17,627.69
24 settembre 2022,321.44,367.77,630.89
25 settembre 2022,325.94,369.77,628.97
26 settembre 2022,328.94,370.57,628.97
27 settembre 2022,330.44,371.77,628.97
28 settembre 2022,332.94,375.37,632.81
29 settembre 2022,335.44,377.77,630.25
30 settembre 2022,332.44,379.37,636.01
1 ottobre 2022,328.94,380.97,636.01
2 ottobre 2022,325.44,379.37,637.93
3 ottobre 2022,320.94,377.37,633.45
4 ottobre 2022,318.44,376.97,637.93
5 ottobre 2022,322.94,378.57,637.29
6 ottobre 2022,326.44,381.37,634.09
7 ottobre 2022,322.44,382.97,636.65
8 ottobre 2022,319.94,382.57,641.13
9 ottobre 2022,318.44,378.97,636.65
10 ottobre 2022,319.44,377.37,637.93
11 ottobre 2022,319.94,376.97,639.85
12 ottobre 2022,321.44,377.77,637.29
13 ottobre 2022,320.94,379.77,638.57
14 ottobre 2022,319.94,376.57,636.65
15 ottobre 2022,314.94,379.77,631.53
16 ottobre 2022,317.94,380.57,630.89
17 ottobre 2022,320.94,379.77,630.25
18 ottobre 2022,321.44,378.57,636.01
19 ottobre 2022,318.44,380.97,632.17
20 ottobre 2022,319.44,381.77,634.09
21 ottobre 2022,320.94,382.97,637.93
22 ottobre 2022,321.44,383.37,641.13
23 ottobre 2022,319.44,386.97,640.49
24 ottobre 2022,316.44,386.97,639.85
25 ottobre 2022,314.94,389.37,641.13
26 ottobre 2022,317.94,392.57,644.33
27 ottobre 2022,314.44,392.57,648.17
28 ottobre 2022,317.44,394.17,648.81
29 ottobre 2022,317.94,391.77,645.61
30 ottobre 2022,312.94,393.77,647.53
31 ottobre 2022,315.44,391.77,647.53
1 novembre 2022,320.44,392.17,652.01
2 novembre 2022,322.44,392.97,648.17
3 novembre 2022,321.44,394.97,643.69
4 novembre 2022,319.44,392.17,646.89
5 novembre 2022,320.94,390.57,649.45
6 novembre 2022,316.94,391.37,650.73
7 novembre 2022,319.44,388.57,648.81
8 novembre 2022,321.94,385.37,647.53
9 novembre 2022,319.44,386.17,645.61
10 novembre 2022,320.44,388.57,650.09
11 novembre 2022,317.94,391.37,648.81
12 novembre 2022,314.94,392.97,653.93
13 novembre 2022,318.44,391.77,653.29
14 novembre 2022,315.44,394.57,657.77
15 novembre 2022,316.44,392.97,659.69
16 novembre 2022,318.94,390.97,659.05
17 novembre 2022,323.94,393.77,662.89
18 novembre 2022,324.94,395.37,664.81
19 novembre 2022,323.44,396.97,670.57
20 novembre 2022,325.44,395.77,669.93
21 novembre 2022,323.44,394.17,671.85
22 novembre 2022,323.94,396.57,673.13
23 novembre 2022,323.94,398.57,676.33
24 novembre 2022,323.94,398.97,673.77
25 novembre 2022,325.44,396.17,678.25
26 novembre 2022,327.94,395.37,675.69
27 novembre 2022,324.94,398.57,677.61
28 novembre 2022,326.94,398.97,676.97
29 novembre 2022,327.94,398.97,674.41
30 novembre 2022,330.94,398.57,668.65
1 dicembre 2022,328.44,398.57,668.01
2 dicembre 2022,329.94,399.37,669.29
3 dicembre 2022,328.94,396.97,669.93
4 dicembre 2022,326.44,394.97,665.45
5 dicembre 2022,329.44,392.57,671.21
6 dicembre 2022,327.44,394.97,674.41
7 dicembre 2022,331.44,391.37,672.49
8 dicembre 2022,330.44,389.77,675.05
9 dicembre 2022,334.44,391.37,676.33
10 dicembre 2022,334.94,387.77,673.13
11 dicembre 2022,333.44,385.77,669.29
12 dicembre 2022,332.94,382.17,671.21
13 dicembre 2022,333.44,379.37,671.21
14 dicembre 2022,335.94,380.97,676.33
15 dicembre 2022,338.44,378.57,681.45
16 dicembre 2022,336.94,376.97,684.01
17 dicembre 2022,339.94,374.97,681.45
18 dicembre 2022,337.44,376.17,679.53
19 dicembre 2022,333.44,374.97,682.73
20 dicembre 2022,334.44,374.57,678.89
21 dicembre 2022,336.94,375.77,678.25
22 dicembre 2022,334.94,375.77,676.97
23 dicembre 2022,335.44,374.17,680.17
24 dicembre 2022,337.94,376.57,677.61
25 dicembre 2022,338.94,375.37,671.21
26 dicembre 2022,340.94,378.17,675.69
27 dicembre 2022,337.94,379.77,680.81
28 dicembre 2022,338.44,378.17,680.17
29 dicembre 2022,338.94,376.57,684.01
30 dicembre 2022,340.44,377.77,684.01
31 dicembre 2022,344.44,376.57,677.61
1 Gennaio 2023,345.44,374.57,676.97
2 Gennaio 2023,348.44,376.17,673.77
3 Gennaio 2023,346.94,377.77,670.57
4 Gennaio 2023,344.44,376.57,669.93
5 Gennaio 2023,340.94,377.37,666.73
6 Gennaio 2023,338.44,380.57,669.93
7 Gennaio 2023,336.94,382.97,672.49
8 Gennaio 2023,338.44,382.57,671.21
9 Gennaio 2023,337.94,382.17,666.73
10 Gennaio 2023,342.44,380.17,673.13
11 Gennaio 2023,345.94,378.97,676.33
12 Gennaio 2023,348.94,378.57,680.17
13 Gennaio 2023,351.94,377.77,676.97
14 Gennaio 2023,348.94,380.17,678.89
15 Gennaio 2023,344.94,382.57,680.81
16 Gennaio 2023,347.44,383.37,676.33
17 Gennaio 2023,352.44,382.17,671.85
18 Gennaio 2023,354.44,381.37,673.13
19 Gennaio 2023,351.94,378.57,676.97
20 Gennaio 2023,352.94,379.37,678.25
21 Gennaio 2023,351.94,378.57,677.61
22 Gennaio 2023,353.94,378.97,682.73
23 Gennaio 2023,352.94,378.57,680.17
24 Gennaio 2023,350.94,379.77,676.97
25 Gennaio 2023,348.94,381.37,676.33
26 Gennaio 2023,349.44,382.57,674.41
27 Gennaio 2023,349.94,382.17,672.49
28 Gennaio 2023,346.94,380.17,673.13
29 Gennaio 2023,344.44,383.77,673.77
30 Gennaio 2023,345.44,386.17,673.13
31 Gennaio 2023,342.94,389.77,673.77
1 Febbraio 2023,346.44,391.77,668.65
2 Febbraio 2023,347.94,390.57,672.49
3 Febbraio 2023,347.44,388.97,673.77
4 Febbraio 2023,350.94,389.77,671.85
5 Febbraio 2023,352.94,393.77,673.13
6 Febbraio 2023,355.44,395.77,666.73
7 Febbraio 2023,351.44,395.37,665.45
8 Febbraio 2023,356.44,394.17,664.81
9 Febbraio 2023,357.44,392.97,668.65
10 Febbraio 2023,360.44,392.57,669.29
11 Febbraio 2023,361.94,395.77,670.57
12 Febbraio 2023,360.44,391.77,666.73
13 Febbraio 2023,356.94,389.77,660.97
14 Febbraio 2023,354.94,386.57,664.81
15 Febbraio 2023,358.44,382.57,663.53
16 Febbraio 2023,356.94,382.97,668.65
17 Febbraio 2023,359.94,382.57,666.09
18 Febbraio 2023,363.44,384.97,664.17
19 Febbraio 2023,362.94,388.17,659.69
20 Febbraio 2023,365.44,389.37,662.89
21 Febbraio 2023,366.94,385.77,657.13
22 Febbraio 2023,362.44,386.17,661.61
23 Febbraio 2023,362.94,387.77,667.37
24 Febbraio 2023,363.94,388.97,671.85
25 Febbraio 2023,360.94,391.77,675.69
26 Febbraio 2023,362.94,392.97,676.33
27 Febbraio 2023,360.94,390.57,674.41
28 Febbraio 2023,365.94,388.97,673.77
1 marzo 2023,367.44,386.17,676.33
2 marzo 2023,362.94,383.77,678.25
3 marzo 2023,360.94,383.77,678.89
4 marzo 2023,361.94,385.37,675.69
5 marzo 2023,360.44,384.17,673.77
6 marzo 2023,357.44,384.57,669.29
7 marzo 2023,358.94,385.37,673.77
8 marzo 2023,362.44,386.97,675.69
9 marzo 2023,362.94,387.37,673.13
10 marzo 2023,360.94,388.57,679.53
11 marzo 2023,365.94,388.97,675.69
12 marzo 2023,363.44,384.97,678.89
13 marzo 2023,364.44,386.17,677.61
14 marzo 2023,362.44,388.57,683.37
15 marzo 2023,365.44,392.57,688.49
16 marzo 2023,364.44,390.57,687.21
17 marzo 2023,369.44,393.37,687.85
18 marzo 2023,373.44,390.97,687.21
19 marzo 2023,370.44,393.77,687.85
20 marzo 2023,371.94,394.97,688.49
21 marzo 2023,372.44,393.37,692.97
22 marzo 2023,373.44,394.57,691.05
23 marzo 2023,373.94,392.97,694.25
24 marzo 2023,369.94,395.77,689.13
25 marzo 2023,372.44,395.37,684.65
26 marzo 2023,377.44,394.97,684.01
27 marzo 2023,380.94,393.37,685.93
28 marzo 2023,378.94,394.97,689.13
29 marzo 2023,382.44,391.77,688.49
30 marzo 2023,384.94,392.17,693.61
31 marzo 2023,385.44,389.37,696.17
1 aprile 2023,383.44,388.17,698.73
2 aprile 2023,386.44,389.37,702.57
3 aprile 2023,384.94,388.57,708.97
4 aprile 2023,388.94,387.77,706.41
5 aprile 2023,389.94,389.37,701.29
6 aprile 2023,387.44,390.17,699.37
7 aprile 2023,386.44,387.37,704.49
8 aprile 2023,381.94,388.97,700.65
9 aprile 2023,384.44,390.97,706.41
10 aprile 2023,379.94,392.17,709.61
11 aprile 2023,378.44,395.77,707.69
12 aprile 2023,375.44,396.17,708.33
13 aprile 2023,378.44,399.77,709.61
14 aprile 2023,381.44,401.37,710.25
15 aprile 2023,383.94,403.37,715.37
16 aprile 2023,387.44,402.57,714.09
17 aprile 2023,383.44,400.57,711.53
18 aprile 2023,381.94,400.57,710.89
19 aprile 2023,380.44,401.77,710.25
20 aprile 2023,380.44,400.57,707.05
21 aprile 2023,380.94,403.37,705.77
22 aprile 2023,382.94,400.97,707.05
23 aprile 2023,386.94,402.17,700.65
24 aprile 2023,389.94,401.77,698.73
25 aprile 2023,391.94,402.97,696.81
26 aprile 2023,395.44,402.17,690.41
27 aprile 2023,397.94,401.77,691.05
28 aprile 2023,397.44,404.17,685.29
29 aprile 2023,400.44,406.97,683.37
30 aprile 2023,402.94,407.37,682.09
1 maggio 2023,402.44,406.97,688.49
2 maggio 2023,402.94,405.77,685.93
3 maggio 2023,399.94,404.57,689.77
4 maggio 2023,402.94,406.97,684.01
5 maggio 2023,400.94,404.57,689.77
6 maggio 2023,397.44,404.57,686.57
7 maggio 2023,399.94,404.17,691.05
8 maggio 2023,398.94,403.77,696.81
9 maggio 2023,400.94,403.37,692.97
10 maggio 2023,398.44,401.77,689.77
11 maggio 2023,400.94,399.77,685.29
12 maggio 2023,398.44,401.37,687.21
13 maggio 2023,401.44,399.37,687.85
14 maggio 2023,403.94,399.77,691.05
15 maggio 2023,402.44,396.57,693.61
16 maggio 2023,400.94,394.17,698.09
17 maggio 2023,399.94,395.37,704.49
18 maggio 2023,402.94,399.37,710.25
19 maggio 2023,405.94,399.77,712.17
20 maggio 2023,406.44,402.97,708.33
21 maggio 2023,405.94,403.77,712.81
22 maggio 2023,403.44,402.97,711.53
23 maggio 2023,407.94,406.57,706.41
24 maggio 2023,408.44,408.57,707.05
25 maggio 2023,410.44,409.77,710.25
26 maggio 2023,411.94,412.17,710.89
27 maggio 2023,411.44,411.77,707.05
28 maggio 2023,414.44,408.17,706.41
29 maggio 2023,415.94,404.97,712.17
30 maggio 2023,416.44,402.57,711.53
31 maggio 2023,417.94,404.97,710.25
1 giugno 2023,413.44,404.97,710.89
2 giugno 2023,416.94,402.17,706.41
3 giugno 2023,418.94,400.57,708.97
4 giugno 2023,414.94,398.57,709.61
5 giugno 2023,413.94,395.37,705.13
6 giugno 2023,418.44,398.57,705.13
7 giugno 2023,416.44,400.97,701.93
8 giugno 2023,417.94,398.17,705.77
9 giugno 2023,420.44,397.37,707.05
10 giugno 2023,423.44,395.77,713.45
11 giugno 2023,427.44,391.77,710.89
12 giugno 2023,425.94,392.97,707.05
13 giugno 2023,427.44,396.97,704.49
14 giugno 2023,426.94,396.17,703.85
15 giugno 2023,430.44,398.17,706.41
16 giugno 2023,427.44,395.77,705.77
17 giugno 2023,431.94,394.97,701.93
18 giugno 2023,433.94,390.97,699.37
19 giugno 2023,437.94,389.37,696.81
20 giugno 2023,439.44,389.77,696.81
21 giugno 2023,439.94,390.17,696.17
22 giugno 2023,442.94,392.57,701.93
23 giugno 2023,443.44,391.77,707.69
24 giugno 2023,445.94,388.17,712.17
25 giugno 2023,441.44,388.57,708.33
26 giugno 2023,440.94,391.37,707.05
27 giugno 2023,436.44,390.97,705.13
28 giugno 2023,437.44,388.97,707.69
29 giugno 2023,437.94,386.97,710.89
30 giugno 2023,435.94,388.97,710.25
1 luglio 2023,434.94,390.17,705.13
2 luglio 2023,436.44,387.37,700.65
3 luglio 2023,438.94,387.77,698.09
4 luglio 2023,437.44,385.77,697.45
5 luglio 2023,439.94,384.17,702.57
6 luglio 2023,441.94,384.57,707.69
7 luglio 2023,439.94,380.97,703.85
8 luglio 2023,434.94,376.97,705.77
9 luglio 2023,432.94,374.57,710.89
10 luglio 2023,432.44,374.17,705.77
11 luglio 2023,435.94,374.57,704.49
12 luglio 2023,432.94,372.17,701.29
13 luglio 2023,432.44,372.57,704.49
14 luglio 2023,435.94,371.77,699.37
15 luglio 2023,437.44,375.37,696.81
16 luglio 2023,438.94,374.57,691.69
17 luglio 2023,442.44,377.37,694.25
18 luglio 2023,439.44,376.57,693.61
19 luglio 2023,438.94,375.77,691.05
20 luglio 2023,439.94,376.57,692.97
21 luglio 2023,437.94,374.17,698.09
22 luglio 2023,436.94,372.57,698.09
23 luglio 2023,439.44,372.17,692.97
24 luglio 2023,438.94,371.77,694.25
25 luglio 2023,438.44,370.57,691.69
26 luglio 2023,441.44,367.77,691.05
27 luglio 2023,443.44,364.57,692.97
28 luglio 2023,441.44,365.77,690.41
29 luglio 2023,436.94,362.17,691.05
30 luglio 2023,440.44,363.77,690.41
31 luglio 2023,444.44,364.97,691.05
1 agosto 2023,443.94,363.37,688.49
2 agosto 2023,443.94,364.97,685.93
3 agosto 2023,442.94,363.37,687.85
4 agosto 2023,441.44,364.97,684.01
5 agosto 2023,440.94,365.37,684.65
6 agosto 2023,439.44,367.37,685.29
7 agosto 2023,434.94,366.57,685.29
8 agosto 2023,430.94,366.97,686.57
9 agosto 2023,428.44,370.17,684.65
10 agosto 2023,428.94,373.37,683.37
11 agosto 2023,432.44,373.77,684.65
12 agosto 2023,430.44,376.17,686.57
13 agosto 2023,427.44,373.77,686.57
14 agosto 2023,422.94,372.57,680.17
15 agosto 2023,424.44,370.17,681.45
16 agosto 2023,426.94,371.37,687.21
17 agosto 2023,422.94,372.57,685.29
18 agosto 2023,421.44,376.17,685.93
19 agosto 2023,423.44,376.17,680.17
20 agosto 2023,426.94,377.37,682.73
21 agosto 2023,426.44,373.77,679.53
22 agosto 2023,426.94,370.97,684.01
23 agosto 2023,426.94,370.17,689.13
24 agosto 2023,428.94,369.37,691.05
25 agosto 2023,432.94,368.57,696.17
26 agosto 2023,433.44,367.77,695.53
27 agosto 2023,432.94,366.57,699.37
28 agosto 2023,432.44,365.37,701.93
29 agosto 2023,434.94,366.57,702.57
30 agosto 2023,435.94,365.77,700.01
31 agosto 2023,438.44,368.57,700.65
1 settembre 2023,434.44,365.77,700.01
2 settembre 2023,434.94,367.77,704.49
3 settembre 2023,429.94,370.57,703.85
4 settembre 2023,427.94,371.37,708.33
5 settembre 2023,428.94,370.97,712.17
6 settembre 2023,430.44,367.77,717.29
7 settembre 2023,429.44,368.97,713.45
8 settembre 2023,427.44,367.77,709.61
9 settembre 2023,427.94,367.37,704.49
10 settembre 2023,430.94,365.37,700.01
11 settembre 2023,432.44,362.17,699.37
12 settembre 2023,433.44,363.37,701.93
13 settembre 2023,432.94,366.97,698.09
14 settembre 2023,429.94,366.57,702.57
15 settembre 2023,427.94,366.97,707.05
16 settembre 2023,432.94,365.37,709.61
17 settembre 2023,432.44,368.57,705.13
18 settembre 2023,427.44,366.57,705.77
19 settembre 2023,431.94,364.17,705.13
20 settembre 2023,433.44,365.77,702.57
21 settembre 2023,436.44,363.77,702.57
22 settembre 2023,438.94,362.57,701.93
23 settembre 2023,439.94,366.17,703.85
24 settembre 2023,436.94,368.17,705.13
25 settembre 2023,441.44,364.57,703.21
26 settembre 2023,437.94,365.77,699.37
27 settembre 2023,440.44,362.57,698.73
28 settembre 2023,438.94,362.97,703.21
29 settembre 2023,442.94,364.57,703.85
30 settembre 2023,443.44,365.37,704.49
1 ottobre 2023,447.44,369.37,701.29
2 ottobre 2023,450.94,372.97,706.41
3 ottobre 2023,447.44,370.17,701.93
4 ottobre 2023,448.94,370.57,707.05
5 ottobre 2023,449.44,368.57,701.93
6 ottobre 2023,452.44,365.37,705.13
7 ottobre 2023,450.44,367.37,706.41
8 ottobre 2023,452.44,366.57,705.77
9 ottobre 2023,452.94,364.17,707.69
10 ottobre 2023,450.44,365.37,701.93
11 ottobre 2023,454.44,365.77,706.41
12 ottobre 2023,452.94,366.17,711.53
13 ottobre 2023,452.44,367.37,713.45
